1.590	0.828	0.012	0.673	1.587	1.824	0.002	0.117	28	3.227	2
1.491	3.330	-0.005	-0.269	1.494	3.330	-0.005	-0.265	26	2.626	4
1.492	3.963	0.005	0.313	1.517	3.996	-0.008	-0.453	26	2.534	2
1.490	3.972	-0.335	-19.190	1.511	3.981	-0.313	-17.961	26	2.534	2
1.491	3.972	0.447	25.593	1.477	4.002	0.435	24.938	26	2.537	2
2.234	3.974	0.447	25.604	2.218	3.966	0.451	25.853	26	1.799	2
2.257	3.975	-0.201	-11.497	2.257	3.970	-0.198	-11.350	26	1.773	2
8.989	4.000	-0.196	-11.214	8.986	4.004	-0.198	-11.318	4	2.325	2
8.988	4.000	-3.091	-177.127	8.963	4.047	-3.079	-176.415	20	3.735	2
8.988	3.999	-2.775	-158.978	8.987	4.043	-2.763	-158.306	20	3.743	2
